Trading Date,Interval Number,Trading Interval,Participant Code,Facility Code,Energy Generated (MWh),EOI Quantity (MW),Extracted At
"2022-09-01",4,2022-09-01 09:30:00,"ALINTA","ALINTA_WWF",19.735,41.6,
"2022-09-01",4,2022-09-01 09:30:00,"MPOWER","AMBRISOLAR_PV1",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"PERTHNRGY","ATLAS",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"ALINTA","BADGINGARRA_WF1",65.015,129.98,
"2022-09-01",4,2022-09-01 09:30:00,"CTE","BIOGAS01",0.2,0.592,
"2022-09-01",4,2022-09-01 09:30:00,"BLAIRFOX","BLAIRFOX_BEROSRD_WF1",1.617,3.91,
"2022-09-01",4,2022-09-01 09:30:00,"BLAIRFOX","BLAIRFOX_KARAKIN_WF1",0.463,0.645,
"2022-09-01",4,2022-09-01 09:30:00,"BLAIRFOX","BLAIRFOX_WESTHILLS_WF3",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","BREMER_BAY_WF1",0.058,0.081,
"2022-09-01",4,2022-09-01 09:30:00,"GRIFFINP","BW1_BLUEWATERS_G2",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"GRIFFIN2","BW2_BLUEWATERS_G1",51.859,104,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","COCKBURN_CCG1",125.687,224,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","COLLIE_G1",55.87,111.81,
"2022-09-01",4,2022-09-01 09:30:00,"DCWL","DCWL_DENMARK_WF1",0.043,0.121,
"2022-09-01",4,2022-09-01 09:30:00,"EDWFMAN","EDWFMAN_WF1",38.145,76.74,
"2022-09-01",4,2022-09-01 09:30:00,"PERTHNRGY","GOSNELLS",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"ALBGRAS","GRASMERE_WF1",0.364,0.94,
"2022-09-01",4,2022-09-01 09:30:00,"GRENOUGH","GREENOUGH_RIVER_PV1",15.631,32,
"2022-09-01",4,2022-09-01 09:30:00,"WGRES","HENDERSON_RENEWABLE_IG1",0.589,1.179,
"2022-09-01",4,2022-09-01 09:30:00,"COLLGAR","INVESTEC_COLLGAR_WF1",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"LNDFLLGP","KALAMUNDA_SG",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","KALBARRI_WF1",0.422,0.716,
